t,l,theta,phi,fx,fy,fz,upx,upy,upz
1.8618618618618619,3.0,1.5707963267948966,0.19497371824080797,-1.0,0.0,0.0,0.0,0.0,1.0
1.921921921921922,3.0,1.5707963267948966,0.20126319302276954,-1.0,0.0,0.0,0.0,0.0,1.0
1.981981981981982,3.0,1.5707963267948966,0.20755266780473108,-1.0,0.0,0.0,0.0,0.0,1.0
2.042042042042042,3.0,1.5707963267948966,0.21384214258669265,-1.0,0.0,0.0,0.0,0.0,1.0
2.1021021021021022,3.0,1.5707963267948966,0.2201316173686542,-1.0,0.0,0.0,0.0,0.0,1.0
2.1621621621621623,3.0,1.5707963267948966,0.22642109215061573,-1.0,0.0,0.0,0.0,0.0,1.0
2.2222222222222223,3.0,1.5707963267948966,0.23271056693257727,-1.0,0.0,0.0,0.0,0.0,1.0
2.2822822822822824,3.0,1.5707963267948966,0.2390000417145388,-1.0,0.0,0.0,0.0,0.0,1.0
2.3423423423423424,3.0,1.5707963267948966,0.24528951649650035,-1.0,0.0,0.0,0.0,0.0,1.0
2.4024024024024024,3.0,1.5707963267948966,0.25157899127846195,-1.0,0.0,0.0,0.0,0.0,1.0
2.4624624624624625,3.0,1.5707963267948966,0.25786846606042346,-1.0,0.0,0.0,0.0,0.0,1.0
2.5225225225225225,3.0,1.5707963267948966,0.26415794084238503,-1.0,0.0,0.0,0.0,0.0,1.0
2.5825825825825826,3.0,1.5707963267948966,0.27044741562434654,-1.0,0.0,0.0,0.0,0.0,1.0
2.6426426426426426,3.0,1.5707963267948966,0.2767368904063081,-1.0,0.0,0.0,0.0,0.0,1.0
2.7027027027027026,3.0,1.5707963267948966,0.2830263651882696,-1.0,0.0,0.0,0.0,0.0,1.0
2.7627627627627627,3.0,1.5707963267948966,0.2893158399702312,-1.0,0.0,0.0,0.0,0.0,1.0
2.8228228228228227,3.0,1.5707963267948966,0.2956053147521927,-1.0,0.0,0.0,0.0,0.0,1.0
2.8828828828828827,3.0,1.5707963267948966,0.3018947895341543,-1.0,0.0,0.0,0.0,0.0,1.0
2.942942942942943,3.0,1.5707963267948966,0.3081842643161158,-1.0,0.0,0.0,0.0,0.0,1.0
3.003003003003003,3.0,1.5707963267948966,0.31447373909807735,-1.0,0.0,0.0,0.0,0.0,1.0
3.063063063063063,3.0,1.5707963267948966,0.32076321388003887,-1.0,0.0,0.0,0.0,0.0,1.0
3.123123123123123,3.0,1.5707963267948966,0.32705268866200043,-1.0,0.0,0.0,0.0,0.0,1.0
3.183183183183183,3.0,1.5707963267948966,0.33334216344396206,-1.0,0.0,0.0,0.0,0.0,1.0
3.2432432432432434,3.0,1.5707963267948966,0.33963163822592357,-1.0,0.0,0.0,0.0,0.0,1.0
3.3033033033033035,3.0,1.5707963267948966,0.34592111300788514,-1.0,0.0,0.0,0.0,0.0,1.0
3.3633633633633635,3.0,1.5707963267948966,0.35221058778984665,-1.0,0.0,0.0,0.0,0.0,1.0
